Price,Area,Location,city
4850000,720,Kharghar,Mumbai
4500000,600,Kharghar,Mumbai
6700000,650,Kharghar,Mumbai
4500000,650,Kharghar,Mumbai
5000000,665,Kharghar,Mumbai
17000000,2000,Kharghar,Mumbai
12500000,1550,Kharghar,Mumbai
10500000,1370,Sector-13 Kharghar,Mumbai
10500000,1356,Kharghar,Mumbai
15000000,1680,Kharghar,Mumbai
8700000,980,Kharghar,Mumbai
9000000,1000,Kharghar,Mumbai
11000000,1060,Kharghar,Mumbai
10500000,1095,Kharghar,Mumbai
9700000,1155,Kharghar,Mumbai
10500000,1150,Kharghar,Mumbai
8000000,1250,Sector 18 Kharghar,Mumbai
8500000,990,Kharghar,Mumbai
9300000,1078,Kharghar,Mumbai
9900000,1150,Kharghar,Mumbai
8000000,1150,Kharghar,Mumbai
9000000,1060,Kharghar,Mumbai
4200000,680,Kharghar,Mumbai
28000000,2470,Kharghar,Mumbai
40000000,2100,Kharghar,Mumbai
16000000,2200,Kharghar,Mumbai
17000000,2235,Kharghar,Mumbai
9500000,1025,Kharghar,Mumbai
9500000,950,Kharghar,Mumbai
7500000,895,Kharghar,Mumbai
8500000,1114,Kharghar,Mumbai
13000000,1197,Kharghar,Mumbai
13700000,1380,Kharghar,Mumbai
8000000,1050,Kharghar,Mumbai
10500000,1240,Kharghar,Mumbai
7700000,1110,Kharghar,Mumbai
7500000,1050,Kharghar,Mumbai
9000000,1160,Kharghar,Mumbai
9300000,1078,Kharghar,Mumbai
6000000,555,Kharghar,Mumbai
6200000,650,Kharghar,Mumbai
5000000,600,Kharghar,Mumbai
6500000,650,Kharghar,Mumbai
5200000,700,Kharghar,Mumbai
4200000,646,Kharghar,Mumbai
5500000,560,Kharghar,Mumbai
5500000,670,Kharghar,Mumbai
6000000,740,Kharghar,Mumbai
5500000,636,Kharghar,Mumbai
4200000,680,Kharghar,Mumbai
16500000,1635,Kharghar,Mumbai
11399999,1550,Kharghar,Mumbai
13500000,1500,Kharghar,Mumbai
22500000,1850,Kharghar,Mumbai
40000000,2100,Kharghar,Mumbai
5700000,610,Kharghar,Mumbai
4800000,655,Kharghar,Mumbai
4500000,660,Kharghar,Mumbai
4300000,650,Kharghar,Mumbai
4500000,680,Kharghar,Mumbai
5300000,670,Kharghar,Mumbai
4803000,655,Kharghar,Mumbai
13000000,1800,Kharghar,Mumbai
15500000,1645,Kharghar,Mumbai
13000000,1395,Kharghar,Mumbai
8500000,1150,Kharghar,Mumbai
9400000,1200,Kharghar,Mumbai
8000000,1150,Kharghar,Mumbai
4500000,615,Kharghar,Mumbai
5300000,670,Kharghar,Mumbai
6000000,765,Kharghar,Mumbai
5600000,650,Kharghar,Mumbai
4803000,655,Kharghar,Mumbai
17500000,1760,Kharghar,Mumbai
12000000,1415,Kharghar,Mumbai
15000000,1685,Kharghar,Mumbai
13000000,1800,Kharghar,Mumbai
16600000,1650,Kharghar,Mumbai
13000000,1395,Kharghar,Mumbai
9400000,1200,Kharghar,Mumbai
16600000,1650,Kharghar,Mumbai
13000000,1395,Kharghar,Mumbai
9400000,1200,Kharghar,Mumbai
8000000,1150,Kharghar,Mumbai
5700000,650,Kharghar,Mumbai
5500000,560,Kharghar,Mumbai
6000000,765,Kharghar,Mumbai
5600000,650,Kharghar,Mumbai
4900000,655,Kharghar,Mumbai
13500000,1390,Kharghar,Mumbai
22000000,1590,Kharghar,Mumbai
17500000,1760,Kharghar,Mumbai
17800000,1716,Kharghar,Mumbai
14000000,1680,Kharghar,Mumbai
7200000,1050,Kharghar,Mumbai
7000000,1100,Kharghar,Mumbai
15000000,1635,Kharghar,Mumbai
10000000,1078,Kharghar,Mumbai
17500000,1760,Kharghar,Mumbai
11000000,1415,Kharghar,Mumbai
13000000,1800,Kharghar,Mumbai
12500000,1147,Kharghar,Mumbai
13000000,1197,Kharghar,Mumbai
15000000,1300,Kharghar,Mumbai
7500000,1050,Kharghar,Mumbai
9500000,1240,Kharghar,Mumbai
9000000,1160,Kharghar,Mumbai
6200000,650,Kharghar,Mumbai
5500000,650,Kharghar,Mumbai
5000000,600,Sector 20 Kharghar,Mumbai
5000000,550,Kharghar,Mumbai
5500000,550,Kharghar,Mumbai
4200000,650,Kharghar,Mumbai
5200000,700,Kharghar,Mumbai
4200000,646,Kharghar,Mumbai
6500000,650,Kharghar,Mumbai
6000000,740,Kharghar,Mumbai
5000000,570,Kharghar,Mumbai
5500000,670,Kharghar,Mumbai
4200000,680,Kharghar,Mumbai
5500000,636,Kharghar,Mumbai
4300000,640,Kharghar,Mumbai
15500000,1700,Kharghar,Mumbai
16500000,1635,Kharghar,Mumbai
11399999,1550,Kharghar,Mumbai
12000000,1530,Kharghar,Mumbai
13500000,1500,Kharghar,Mumbai
16000000,1750,Kharghar,Mumbai
22000000,1590,Kharghar,Mumbai
11000000,1415,Kharghar,Mumbai
16600000,1650,Kharghar,Mumbai
14000000,1687,Kharghar,Mumbai
8500000,1150,Kharghar,Mumbai
7500000,1050,Kharghar,Mumbai
6000000,555,Kharghar,Mumbai
4900000,600,Kharghar,Mumbai
4200000,646,Kharghar,Mumbai
6500000,650,Kharghar,Mumbai
4500000,650,Kharghar,Mumbai
6000000,740,Kharghar,Mumbai
5500000,670,Kharghar,Mumbai
4300000,640,Kharghar,Mumbai
5500000,650,Kharghar,Mumbai
13500000,1400,Kharghar,Mumbai
16000000,1750,Kharghar,Mumbai
15000000,1780,Kharghar,Mumbai
11000000,1415,Kharghar,Mumbai
14000000,1687,Kharghar,Mumbai
6900000,1100,Kharghar,Mumbai
8300000,1050,Kharghar,Mumbai
9000000,1160,Kharghar,Mumbai
5100000,700,Kharghar,Mumbai
5200000,625,Kharghar,Mumbai
4200000,646,Kharghar,Mumbai
5500000,670,Kharghar,Mumbai
5500000,550,Kharghar,Mumbai
6500000,650,Kharghar,Mumbai
5400000,650,Kharghar,Mumbai
5300000,660,Kharghar,Mumbai
5500000,550,Kharghar,Mumbai
5000000,570,Kharghar,Mumbai
11000000,1415,Kharghar,Mumbai
14000000,1550,Kharghar,Mumbai
17100000,1760,Kharghar,Mumbai
16000000,1750,Kharghar,Mumbai
11800000,1475,Kharghar,Mumbai
6000000,759,Kharghar,Mumbai
4850000,600,Kharghar,Mumbai
4300000,640,Kharghar,Mumbai
4500000,550,Kharghar,Mumbai
4100000,620,Kharghar,Mumbai
5000000,550,Kharghar,Mumbai
5500000,745,Kharghar,Mumbai
4500000,580,Kharghar,Mumbai
5000000,570,Kharghar,Mumbai
5300000,670,Kharghar,Mumbai
19000000,1845,Kharghar,Mumbai
15500000,1700,Kharghar,Mumbai
13500000,1400,Kharghar,Mumbai
13600000,1680,Kharghar,Mumbai
15500000,1645,Kharghar,Mumbai
16500000,1585,Kharghar,Mumbai
8600000,1350,Kharghar,Mumbai
10000000,1075,Kharghar,Mumbai
10500000,1155,Kharghar,Mumbai
4700000,625,Kharghar,Mumbai
6200000,720,Kharghar,Mumbai
4500000,550,Kharghar,Mumbai
6900000,735,Kharghar,Mumbai
4500000,580,Kharghar,Mumbai
10000000,1505,Kharghar,Mumbai
13000000,1630,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
13000000,1455,Sector 18 Kharghar,Mumbai
16000000,1750,Kharghar,Mumbai
10500000,1098,Kharghar,Mumbai
13000000,1210,Sector 15 Kharghar,Mumbai
9500000,1000,Kharghar,Mumbai
4500000,550,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
13000000,1630,Kharghar,Mumbai
13600000,1680,Kharghar,Mumbai
16200000,1650,Kharghar,Mumbai
15000000,1440,Kharghar,Mumbai
13200000,1370,Kharghar,Mumbai
7500000,1022,Sector 18 Kharghar,Mumbai
9500000,1000,Kharghar,Mumbai
15000000,1760,Kharghar,Mumbai
7500000,1100,Kharghar,Mumbai
13000000,1550,Sector 20 Kharghar,Mumbai
16200000,1675,Kharghar,Mumbai
11000000,1060,Kharghar,Mumbai
11600000,1150,Kharghar,Mumbai
5600000,670,Kharghar,Mumbai
8000000,900,Kharghar,Mumbai
9500000,1088,Kharghar,Mumbai
2018000,375,Dombivali,Mumbai
65000000,1200,Churchgate,Mumbai
45000000,1717,Prabhadevi,Mumbai
16500000,750,Jogeshwari West,Mumbai
2375000,525,Kalyan East,Mumbai
19500000,1200,Malad East,Mumbai
2000000,420,Virar East,Mumbai
2500000,540,Virar East,Mumbai
2250000,415,Virar East,Mumbai
2700000,650,Virar,Mumbai
22000000,1100,Malad West,Mumbai
17000000,1105,Borivali East,Mumbai
43500000,2600,Malad East,Mumbai
4760000,700,Mira Road East,Mumbai
18100000,1296,Goregaon West,Mumbai
23800000,1638,Goregaon West,Mumbai
21200000,1465,Goregaon West,Mumbai
8600000,700,Borivali East,Mumbai
36500000,2030,Goregaon West,Mumbai
23700000,1450,Malad West,Mumbai
21400000,1100,Malad West,Mumbai
12500000,800,Kandivali West,Mumbai
18000000,1500,Kandivali West,Mumbai
13200000,1100,Kandivali West,Mumbai
35300000,1962,Kandivali West,Mumbai
15300000,950,Borivali East,Mumbai
25000000,1440,Kandivali West,Mumbai
13899999,1200,Kandivali West,Mumbai
33500000,1785,Borivali West,Mumbai
14500000,775,Goregaon West,Mumbai
9000000,765,Kandivali West,Mumbai
13500000,910,Goregaon West,Mumbai
9000000,640,Goregaon West,Mumbai
21600000,1264,Malad East,Mumbai
13700000,1056,Kandivali West,Mumbai
27799999,1810,Kandivali East,Mumbai
27900000,1656,Goregaon West,Mumbai
81600000,3888,Goregaon West,Mumbai
38600000,2030,Borivali West,Mumbai
17000000,1114,Andheri East,Mumbai
60100000,3585,Goregaon West,Mumbai
27900000,1404,Goregaon East,Mumbai
31500000,1620,Goregaon East,Mumbai
37500000,2780,Malad East,Mumbai
31000000,1672,Malad East,Mumbai
21100000,1200,Malad East,Mumbai
16500000,1200,Malad East,Mumbai
16000000,1250,Borivali East,Mumbai
26000000,1840,Borivali East,Mumbai
15200000,1170,Malad West,Mumbai
2300000,310,Kharghar,Mumbai
33000000,1245,Wadala,Mumbai
29000000,1153,Wadala,Mumbai
11200000,573,Ulwe,Mumbai
9000000,1100,Ulwe,Mumbai
8500000,1135,Ulwe,Mumbai
9000000,1060,Kharghar,Mumbai
11500000,560,Malad West,Mumbai
12100000,1150,Dahisar,Mumbai
11000000,1054,kandivali,Mumbai
27000000,1695,Goregaon,Mumbai
21600000,1579,Goregaon,Mumbai
30200000,2153,Goregaon,Mumbai
